	statename	activity_level	activity_level_label	Latitude	Longitude	year	month	day	mean_prcp	mean_tmax	mean_tmin
83	Arizona	5	Low	33.729759	-111.431221	2015	2	21	1.1071428571428572	19.267857142857142	6.089285714285714
84	Arizona	7	Moderate	33.729759	-111.431221	2015	2	7	1.1071428571428572	19.267857142857142	6.089285714285714
85	Arizona	1	Minimal	33.729759	-111.431221	2015	3	28	1.3548387096774193	22.032258064516128	8.451612903225806
86	Arizona	2	Minimal	33.729759	-111.431221	2015	3	14	1.3548387096774193	22.032258064516128	8.451612903225806
87	Arizona	3	Minimal	33.729759	-111.431221	2015	3	21	1.3548387096774193	22.032258064516128	8.451612903225806
88	Arizona	3	Minimal	33.729759	-111.431221	2015	3	7	1.3548387096774193	22.032258064516128	8.451612903225806
89	Arizona	1	Minimal	33.729759	-111.431221	2015	4	25	1.0	23.4	8.3
90	Arizona	1	Minimal	33.729759	-111.431221	2015	4	18	1.0	23.4	8.3
91	Arizona	1	Minimal	33.729759	-111.431221	2015	4	11	1.0	23.4	8.3
92	Arizona	2	Minimal	33.729759	-111.431221	2015	4	4	1.0	23.4	8.3
93	Arizona	1	Minimal	33.729759	-111.431221	2015	5	30	3.096774193548387	25.225806451612904	10.790322580645162
94	Arizona	1	Minimal	33.729759	-111.431221	2015	5	23	3.096774193548387	25.225806451612904	10.790322580645162
95	Arizona	1	Minimal	33.729759	-111.431221	2015	5	16	3.096774193548387	25.225806451612904	10.790322580645162
96	Arizona	1	Minimal	33.729759	-111.431221	2015	5	9	3.096774193548387	25.225806451612904	10.790322580645162
97	Arizona	2	Minimal	33.729759	-111.431221	2015	5	2	3.096774193548387	25.225806451612904	10.790322580645162
98	Arizona	1	Minimal	33.729759	-111.431221	2015	6	27	1.0666666666666667	33.983333333333334	18.2
99	Arizona	1	Minimal	33.729759	-111.431221	2015	6	20	1.0666666666666667	33.983333333333334	18.2
100	Arizona	1	Minimal	33.729759	-111.431221	2015	6	13	1.0666666666666667	33.983333333333334	18.2
